Case Number,Year,Type,Country,Area,Location,Activity,Sex ,Age,Injury,Fatal (Y/N)
2012.01.02,2012,Unprovoked,AUSTRALIA,Queensland,Duranbah,Spearfishing,M,34,"No injury, punctures to swim fin",N
2012.01.03,2012,Unprovoked,AUSTRALIA,New South Wales,North Avoca Beach,Surfing,M,28,Right forearm and wrist injured,N
2012.01.13,2012,Unprovoked,USA,Oregon,"Lincoln City, Lincoln County",Surfing,M,53,"No injury, surfboard damaged",N
2012.01.15,2012,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Second Beach, Port St. Johns",Swimming,M,25,FATAL,Y
2012.01.18.a,2012,Unprovoked,AUSTRALIA,New South Wales,Redhead Beach,Surfing,M,44,Lacerations to thigh,N
2012.01.18.b,2012,Provoked,TAIWAN,Taitung ,Taimali,Fishing,M,24,Bitten on left thigh     PROVOKED ACCIDENT,N
2012.01.19,2012,Unprovoked,AUSTRALIA,Western Australia,Coral Bay,Snorkeling,M,26,Lacerations to right forearm,N
2012.01.22.R,2012,Unprovoked,BAHAMAS,unknown,Cat Island,"Diving, photographing sharks",M,unknown,"No injury, shark grabbed his camera",N
2012.01.27,2012,Unprovoked,USA,Hawaii,Lanai,Snorkeling,unknown,unknown,"No injury, shark bit swim fin",N
2012.02.06,2012,Unprovoked,AUSTRALIA,Queensland,Wurtulla,Surfing,M,29,"No injury, but fin lost from surfboard",N
2012.02.20,2012,Boat,SOUTH AFRICA,Western Cape Province,Strandfontein,Fishing,unknown,unknown,"No injury to occupants, boat damaged",N
2012.02.25,2012,Unprovoked,AUSTRALIA,New South Wales,Broughton Island,Fishing,M,unknown,Laceration to left foot,N
2012.02.26,2012,Provoked,USA,Florida,"Palm Beach Inlet, Palm Beach County",Kite Surfing,M,unknown,Laceration to right foot when he struck a shark PROVOKED INCIDENT,N
2012.03.01,2012,Provoked,CHILE,Antofagasta Province,Antofagasta,Fishing (illegally),M,unknown,Hand injured PROVOKED INCIDENT,N
2012.03.03,2012,Invalid,SAUDI ARABIA,Tabuk Province,Off Duba,Attempting to Kite surf from Egypt to Saudi Arabia,M,42,Harassed by sharks but not injured by them,N
2012.03.04,2012,Unprovoked,USA,Florida,"Playalinda Beach, Brevard County",Kite Surfing,M,19,Lacerations to left calf,N
2012.03.05,2012,Unprovoked,REUNION,Saint-Benoit,Port de la Marine,Body boarding,M,31,"No injury, board bitten",N
2012.03.06.a,2012,Provoked,AUSTRALIA,Victoria,"Shipwreck Cove, Melbourne Aquarium","Diving, feeding sharks",F,34,Superficial lacerations to right side of face PROVOKED ACCIDENT,N
2012.03.06.b,2012,Unprovoked,NEW ZEALAND,North Island,"Opunake, Taranake",Surfing,M,unknown,Lacerations to left calf,N
2012.03.14.a,2012,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,17,Bitten on calf,N
2012.03.14.b,2012,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,F,15,Bitten on ankle,N
2012.03.15,2012,Unprovoked,USA,Florida,"Jensen Beach, Martin County ",Surfing,M,61,Left forearm bitten,N
2012.03.20,2012,Unprovoked,AUSTRALIA,Queensland,Nobby's Beach,Surfing,M,20,Lacerations to left calf,N
2012.03.22,2012,Boat,AUSTRALIA,Western Australia,Kalbarri,Crayfishing,unknown,unknown,"No injury to occupants. Shark bit propelle, rope & crayfish float",N
2012.03.24,2012,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,21,Minor lacerations to foot,N
2012.03.31,2012,Unprovoked,AUSTRALIA,Western Australia,Stratham Beach,Scuba diving,M,33,FATAL,Y
2012.04.00,2012,Unprovoked,USA,Florida,"Sanibel Island, Lee County",unknown,M,unknown,Right shin bitten,N
2012.04.03,2012,Unprovoked,USA,Hawaii,"Leftovers near Chun's Reef, Oahu",Surfing,M,28,Lacerations to left foot,N
2012.04.11,2012,Unprovoked,AUSTRALIA,South Australia,"Dolphin Bay, Innes National Park",Kayaking,M,27,Minor wound to his thigh when shark bit kayak,N
2012.04.19.a,2012,Unprovoked,SOUTH AFRICA,Western Cape Province,Caves near Kogel Bay,Body boarding,M,20,FATAL,Y
2012.04.19.b,2012,Unprovoked,USA,Florida,"Indialantic, Brevard County",Surfing,M,28,Lacerations to hand,N
2012.05.06,2012,Unprovoked,USA,California,Off Catalina Island,Paddle boarding,F,15,"No injury, shark bit paddleboard",N
2012.05.09,2012,Unprovoked,USA,Florida,"Vero Beach, Indian River County",Swimming,F,47,Upper left thigh bitten,N
2012.05.12,2012,Unprovoked,USA,California,"Leffingwell Landing, Cambria,  San Luis Obispo County",Kayaking / Fishing,M,30,"No injury, kayaker fell in the water when kayak bitten by a shark",N
2012.05.16,2012,Unprovoked,FIJI,unknown,Matacucu Reef ,Spearfishing,M,20,Lacerations to head,N
2012.05.20,2012,Unprovoked,USA,Hawaii,"Iroquiois Point, Oahu",Kayak Fishing,M,unknown,"No injury, teethmarks in kayak",N
2012.05.23,2012,Unprovoked,USA,Florida,"Jacksonville, Duval County",Surfing,M,22,Lacerations to foot,N
2012.05.29,2012,Unprovoked,MEXICO,Guerrero," Boca de la Leña, La Unión",Free diving / spearfishing,M,46,Left hand severed,N
2012.05.31,2012,Unprovoked,USA,North Carolina,"Avon, Hatteras Island, Outer Banks, Dare County",Wading,F,33,Foot bitten,N
2012.06.02.a,2012,Unprovoked,USA,South Carolina,"Myrtle Beach, Horry County",Boogie Boarding,M,25,Severe laceration to foot,N
2012.06.02.b,2012,Unprovoked,USA,Florida,"Bethune Beach, Volusia County",Surfing,F,12,Laceration to thigh,N
2012.06.03,2012,Unprovoked,AUSTRALIA,New South Wales,"Redhead Beach, Newcastle",Surf skiing ,M,30,"No injury, ski bitten",N
2012.06.10,2012,Provoked,ITALY,Sardinia,Muravera,Attempting to rescue an injured & beached shark,M,57,Lower left leg injured PROVOKED ACCIDENT,unknown
2012.06.12,2012,Unprovoked,AUSTRALIA,Victoria,Port Campbell,Surfing,M,42,Laceration to right foot,N
2012.06.14.a,2012,Unprovoked,USA,South Carolina,"Myrtle Beach, Horry County",Swimming,M,16,Laceration to right foot,N
2012.06.14.b,2012,Unprovoked,USA,South Carolina,"Myrtle Beach, Horry County",Swimming,M,unknown,Calf bitten,N
2012.06.14.c,2012,Unprovoked,USA,South Carolina,"Myrtle Beach, Horry County",Swimming,M,unknown,Minor injury,N
2012.06.14.d,2012,Unprovoked,USA,South Carolina,"Myrtle Beach, Horry County",Swimming,F,18,Foot & hand bitten,N
2012.06.15,2012,Provoked,USA,Florida,"Summerland Key, Monroe County",Fishing,M,23,Superficial injury to calf by hooked shark PROVOKED ACCIDENT,N
2012.06.18,2012,Unprovoked,USA,North Carolina,"Ocean Isle, Brunswick County",Wading,F,6,Numerous puncture wounds to leg ,N
2012.06.19,2012,Invalid,USA,South Carolina,"Myrtle Beach, Horry County",Standing,M,16,"Laceration to foot. Injured by a stingray, not a shark",N
2012.06.20,2012,Unprovoked,AUSTRALIA,Western Australia,"Mullaloo Beach, Perth",Surf skiing ,M,62,"No injury, ski severely damaged",N
2012.06.22.a,2012,Unprovoked,USA,Florida,"Bathtub Reef  Beach, Stuart, Martin County",Swimming,M,12,Minor injury,N
2012.06.22.b,2012,Unprovoked,AUSTRALIA,Tasmania,South Cape Bay,Surfing,M,unknown,"Knocked off board, shark bit nose off surfboard",N
2012.06.26.a,2012,Unprovoked,USA,Hawaii,"Kahana Beach, Maui",Sitting in the water,F,16,Laceration to left calf,N
2012.06.26.b,2012,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,26,Nip to left foot,N
2012.06.26.c,2012,Unprovoked,USA,Florida,"Juno Beach, Palm Beach County",Swimming,M,6,Thigh bitten,N
2012.06.28.R,2012,Invalid,CROATIA,unknown,Buccari Bay,Swimming,unknown,60,"Leg struck. Initally reported as a shark attack, but involved a swordfish",N
2012.07.06,2012,Unprovoked,SOUTH AFRICA,Western Cape Province,"Sandstrand, Jongensfontein",Surfing,M,29,Lacerattions to left thigh & knee,N
2012.07.07.a,2012,Unprovoked,USA,California,"Pleasure Point, Santa Cruz County",Kayaking,M,52,"No injury, kayak bitten",N
2012.07.07.b,2012,Invalid,AUSTRALIA,Victoria,Ship's Graveyard off Point Lonsdale,Scuba diving,F,42,Cause of death was drowning & preceded shark involvement,Y
2012.07.07.c,2012,Unprovoked,BAHAMAS,Eleuthera,unknown,Spearfishing,M,unknown,Lacerations to right leg,N
2012.07.08,2012,Unprovoked,USA,North Carolina,"North Topsail Beach, Onslow County",Swimming,F,43,Lacerations to right ankle and calf,N
2012.07.14,2012,Unprovoked,AUSTRALIA,Western Australia,Off Wedge Island,Surfing,M,24,FATAL,Y
2012.07.19,2012,Invalid,CANADA,British Colombia,"Tofino, Vancouver",Surfing,F,23,"Lacerations to 2 fingers, but shark involvement unconfirmed",N
2012.07.21,2012,Invalid,TRINIDAD & TOBAGO,Trinidad,"Off Radix Village, Mayoro County",Swimming,M,24,Probable drowning with post-mortem bite,Y
2012.07.23,2012,Unprovoked,REUNION,Trois-Bassins,unknown,Surfing,M,22,FATAL,Y
2012.07.24,2012,Invalid,USA,North Carolina,"Ocean Isle, Brunswick County",unknown,M,12,Shark involvement unconfirmed,N
2012.07.30.a,2012,Unprovoked,USA,Massachusetts,"Ballston Beach, Truro, Cape Cod",Body surfing,M,50,Lacerations to both legs below the knees,N
2012.07.30.b,2012,Unprovoked,USA,Hawaii,"Maha‘ulepu Beach, Kauai",Surfing,M,44,Left foot bitten,N
2012.07.31.a,2012,Unprovoked,AUSTRALIA,South Australia,Streaky Bay,Surfing,M,48,Lacerations to torso & arm,N
2012.07.31.b,2012,Unprovoked,USA,California,"Topanga Beach, Los Angeles County",Surfing,M,17,"No injury, surfer knocked off board when shark struck surfboard",N
2012.08.04,2012,Unprovoked,FRENCH POLYNESIA,Tuamotus,Kaukura Atoll,Spearfishing,M,unknown,Shoulder bitten,N
2012.08.05,2012,Unprovoked,REUNION,Saint Leu,unknown,Surfing,M,39,Right hand and foot severed,N
2012.08.09,2012,Unprovoked,USA,Florida,Key Largo,Free diving ,M,56,Lacerations to little finger of left hand,N
2012.08.11,2012,Boat,AUSTRALIA,Western Australia,Ocean Reef,Fishing,unknown,unknown,"No injury, shark grabbed outboard motor",N
2012.08.15,2012,Unprovoked,USA,Alabama,"Gulf Shores, Baldwin County",Wading or swimming,M,31,Lacerations to leg,N
2012.08.26,2012,Unprovoked,BRAZIL,Pernambuco,"Coral Cove, Cabo de Santo Agostinho",Swimming,M,18,FATAL,Y
2012.08.28,2012,Unprovoked,AUSTRALIA,Western Australia,Red Bluff near Quobba Station,Surfing,M,34,Lacerations to torso and arm,N
2012.08.31,2012,Provoked,SCOTLAND,Inner Hebrides,Off the Isle of Islay,Shark fishing,M,53,"No injury, shoe bitten by hooked and landed shark PROVOKED INCIDENT",N
2012.09.02.1,2012,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Boogie boarding,F,8,Puncture wounds to calf and hand,N
2012.09.02.2,2012,Provoked,USA,Hawaii,"Spreckelsville, Maui",Spearfishing,unknown,unknown,Minor laceration to hand  PROVOKED INCIDENT,N
2012.09.02.a,2012,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Swimming or boogie boarding,F,56,Puncture wound to left ankle,N
2012.09.04,2012,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Surfing,M,32,Puncture wounds to hand,N
2012.09.06.a,2012,Unprovoked,USA,Florida,"St. Augustine Beach, St. John's County",Surfing,M,37,Lacerations to foot,N
2012.09.06.b,2012,Unprovoked,USA,Florida,"Neptune Beach, Duval County",Surfing,M,unknown,Right calf bitten,N
2012.09.08.a,2012,Unprovoked,USA,Florida,"South Beach, Miami-Dade County",Swimming,M,unknown,Lacerations to right calf,N
2012.09.08.b,2012,Unprovoked,USA,Florida,"Lori Wilson Park, Cocoa Beach, Brevard  County",Surfing,M,25,Right foot bitten,N
2012.09.09,2012,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,unknown,19,Minor injury to elbow,N
2012.09.10,2012,Unprovoked,TONGA,Vava'u,Eueiki Island,Swimming,F,29,Injuries to thighs & buttocks,N
2012.09.16,2012,Unprovoked,USA,Florida," Cocoa Beach, Brevard  County",Surfing,M,52,Foot bitten,N
2012.09.24,2012,Unprovoked,USA,Florida,"Spanish House Beach, Brevard County",Surfing,M,22,Left foot bitten,N
2012.09.25,2012,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Surfing,M,21,Lacerations to left forearm,N
2012.10.02,2012,Unprovoked,AUSTRALIA,Western Australia,"Mullaloo Beach, Perth",Bodyboarding,M,11,"No injury, but swim fin bitten & torn",N
2012.10.07,2012,Unprovoked,USA,California,"Davenport Landing, Santa Cruz County",Windsurfing,M,42,"No ijnury to boardrider, shark struck board breaking the mast",N
2012.10.11.R,2012,Unprovoked,NIGERIA,Delta,Oboro,Bathing,F,38,Laceration to right leg,N
2012.10.16,2012,Invalid,USA,Florida,Hobe Sound,unknown,M,unknown,Laceration to toe,N
2012.10.18.a,2012,Unprovoked,USA,Hawaii,"Kanaha Beach, Maui",Paddle boarding,M,55,"No injury, board bitten",N
2012.10.18.b,2012,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,M,24,Minor bite to ankle,N
2012.10.19,2012,Unprovoked,USA,Florida,"Seaport, Brevard County",unknown,F,35,Left calf bitten,N
2012.10.23,2012,Unprovoked,USA,California,"Surf Beach, Lompoc, Santa Barbara County",Surfing,M,39,FATAL,Y
2012.10.27,2012,Unprovoked,USA,Hawaii,"Makena Landing, Maui",Swimming,F,51,"Puncture wounds to thigh, defense wounds  to hand",N
2012.10.30,2012,Unprovoked,USA,California,"Humboldt Bay, Eureka, Humboldt County",Surfing,M,25,Multiple lacerations to torso,N
2012.11.04.a,2012,Unprovoked,USA,Hawaii,"Davidson's Surf Break, Kekaha, Kaua'i",Surfing,M,43,"No injury, surfboard bitten",N
2012.11.04.b,2012,Unprovoked,USA,Hawaii,"Makena Landing, Maui",Diving,M,30,Right lower leg and foot bitten,N
2012.11.19,2012,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Surfing,M,14,Minor lacerations to left foot & heel,N
2012.11.22,2012,Unprovoked,MEXICO,Sinaloa,Nuevo Altata,Swimming,M,32,FATAL,Y
2012.11.27,2012,Invalid,AUSTRALIA,Queensland,Mooloolaba,unknown,M,20,"Injury to ankle caused  by a stingray, not a shark",N
2012.11.30,2012,Unprovoked,USA,Hawaii,"Kihei, Maui",Snorkeling,M,61,Lacerations to thigh & lower left leg,N
2012.12.00,2012,Unprovoked,NEW ZEALAND,South Island,"Sunday Cove, Fiordland",Scuba diving,F,25,"No injury, shark grabbed hood",N
2012.12.02,2012,Unprovoked,AUSTRALIA,New South Wales,Green Island,Spearfishing,M,31,Minor puncture wounds to knee,N
2012.12.05,2012,Unprovoked,USA,Hawaii,Kauai,Surfing,M,60,Lacerations to left foot,N
2012.12.19,2012,Unprovoked,AUSTRALIA,Western Australia,Trigg Beach,Surfing,M,32,No injury,N
2012.12.25,2012,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Port St. John's,Swimming,M,20,FATAL,Y
2012.12.28,2012,Unprovoked,AUSTRALIA,New South Wales,"Kylie's Beach, Diamond Head",Paddle boarding,M,29,Lacerations to thigh and hand,N
2012.12.30,2012,Unprovoked,AUSTRALIA,New South Wales,Between Dee Why and Long Reef,Surfing,M,23,"No injury, chunk missing from surfboard",N
2012.12.31,2012,Unprovoked,USA,Florida,"Jensen Beach, Martin County ",Swimming,M,unknown,Lower leg or ankle bitten,N
2013.01.05,2013,Unprovoked,AUSTRALIA,Western Australia,Near Legendre Island,Spearfishing / Free diving,M,26,Calf & shin bitten ,N
2013.01.13,2013,Unprovoked,NEW ZEALAND,Mercury Islands,Great Mercury Island,Spearfishing,M,unknown,Minor cut on finger,N
2013.01.16,2013,Unprovoked,USA,Hawaii,Kiholo Bay,Surfing,M,43,Left forearm bitten ,N
2013.01.21.R,2013,Invalid,AUSTRALIA,Queensland,Bullcock Beach,Dragging stranded shark into deeper water,M,62,"No injury, a 3 m blue shark merely snapped at the man.",N
2013.01.25,2013,Unprovoked,AUSTRALIA,Queensland,Noosa,Surfing,M,unknown,Lacerations to neck,N
2013.01.26,2013,Boat,AUSTRALIA,Victoria,Cape Nelson,Fishing,M,unknown,"No injury to occupants, shark bit propeller",N
2013.02.01,2013,Unprovoked,JAMAICA,Kingston Parish,Pedro Cays,unknown,M,18,Knee bitten,N
2013.02.09,2013,Unprovoked,FRENCH POLYNESIA,Society Islands,"Tapu, a dive site on the outer reefs of Bora Bora",Scuba diving,M,48,Lacerations to right arm & thigh,N
2013.02.10,2013,Unprovoked,USA,Florida,"""Stuart Rocks"", Martin County",Surfing,M,16,Lacerations to right hand,N
2013.02.21.a,2013,Unprovoked,USA,Hawaii,"Paia Bay, Maui",Surfing,M,unknown,"No injury, shark bit rail of foam board",N
2013.02.21.b,2013,Unprovoked,USA,Hawaii,"Ka'anapali, Honokowai, Maui",Surfing,unknown,unknown,Lacerations to right leg,N
2013.02.27,2013,Unprovoked,NEW ZEALAND,North Island,Muriwai,Swimming,M,46,FATAL,Y
2013.03.03,2013,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Port St. John's,Swimming,M,39,Injuries to arms & hands,N
2013.03.10.a,2013,Unprovoked,PHILIPPINES,Palawan,Off Likas Island,Swimming to shore with floatioon devices after boat engine conked out,M,unknown,Minor leg injuries,N
2013.03.10.b,2013,Unprovoked,AUSTRALIA,Western Australia,African Reef off Geraldton,Spearfishing,M,28,Laceration to left hand,N
2013.03.12,2013,Unprovoked,JAMAICA,St. Catherine,Pillikin Red Light area ,Spearfishing,M,68,FATAL,Y
2013.03.16.a,2013,Unprovoked,SOUTH AFRICA,Western Cape Province,Hawston Beach,Surfing,M,unknown,"No injury, surfboard bitten",N
2013.03.16.b,2013,Provoked,SOUTH AFRICA,Western Cape Province,De Mond,Fishing - 'tag & release',M,30,Lacerations to left calf and heel from hooked shark PROVOKED INCIDENT,N
2013.03.21,2013,Unprovoked,BAHAMAS,Eleuthera,Savannah Sound,Fly fishing,M,50,Left foot bitten,N
2013.03.21.R,2013,Unprovoked,BELIZE,unknown,unknown,Snorkeling,F,unknown,Toe injured,N
2013.03.29,2013,Unprovoked,SEYCHELLES,unknown,Ile Platte,Free diving,M,34,Lacerations to left foot,N
2013.03.31,2013,Invalid,AUSTRALIA,New South Wales,Terrigal Beach,Surfing,M,47,Never happened; it was a  hoax,N
2013.04.02.a,2013,Unprovoked,USA,Hawaii,Ka’anapali Shores,Surfing,M,58,Right thigh bitten,N
2013.04.02.R,2013,Invalid,AUSTRALIA,Western Australia,Perth,unknown,M,24,Disappeared. No evidence that he was taken by a shark,Y
2013.04.04,2013,Unprovoked,USA,Florida,"Jensen Beach, Martin County ",Swimming,M,50,Lacerations to hand,N
2013.04.10,2013,Unprovoked,FRENCH POLYNESIA,Tuamotus,"North Pass, Fakarava",Kite boarding,M,53,"Underside of board, fins and, harness were damaged, and left  hip, thigh and buttock sustained puncture wounds",N
2013.04.13.a,2013,Unprovoked,GUAM,unknown,unknown,unknown,M,40,FATAL,Y
2013.04.13.b,2013,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,21,Minor lacerations to right hand,N
2013.04.14,2013,Unprovoked,SOUTH AFRICA,Western Cape Province,False Bay,Free diving,M,unknown,"""Light scratch on hand/wrist area""",N
2013.04.17,2013,Unprovoked,USA,Florida,"Near Boynton Beach, Palm Beach County",Playing in the surf,M,9,Lacerations to right foot,N
2013.04.21,2013,Unprovoked,AUSTRALIA,New South Wales,Crowdy Head,Fishing,M,51,Puncture wounds and lacerations to both legs,N
2013.04.24,2013,Unprovoked,MEXICO,Quintana Roo,"Seagull Beach, Cancun",Swimming,F,34,Avulsion injury  to lower right leg,N
2013.04.28,2013,Provoked,AUSTRALIA,New South Wales,Emerald Beach,Fishing,M,unknown,Foot bitten by landed shark PROVOKED INCIDENT,N
2013.05.04.a,2013,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Surfing,M,16,Lacerations to left foot and ankle,N
2013.05.08.a,2013,Unprovoked,REUNION,Saint-Gilles,Brisant Beach,Body boarding,M,36,FATAL,Y
2013.05.08.b,2013,Invalid,USA,California,"Tourmaline Surf Park, San Diego County",Surfing,M,42,Shark bites were post-mortem,Y
2013.05.14,2013,Unprovoked,ECUADOR,Santa Cruz Island,"Playa Brava, Turtle Bay",Surfing,M,29,Superficial injury to left calf,N
2013.05.23.a,2013,Provoked,PALESTINIAN TERRITORIES,unknown,Gaza,Fishing,M,30,Two fingers lost PROVOKED INCIDENT,N
2013.05.23.b,2013,Unprovoked,BRAZIL,Pernambuco,Coral Cove Beach,unknown,M,41,FATAL,Y
2013.05.27.a,2013,Unprovoked,USA,Florida,"Ormond Beach, Volusia County",Swimming,M,11,Right foot bitten,N
2013.05.27.b,2013,Unprovoked,USA,Hawaii,"Halewia, Oahu",Diving,M,32,Lacerations to right hand,N
2013.06.06.a,2013,Unprovoked,AUSTRALIA,New South Wales,Target Beach,Surfing,M,unknown,"No injury, board damaged",N
2013.06.06.b,2013,Provoked,USA,Florida,"Off Snipe Point, Florida Keys, Monroe County",Fishing for sharks,M,58,Left hand bitten as he attempted to remove hook from shark PROVOKED INCIDENT,N
2013.06.14.R,2013,Unprovoked,USA,South Carolina,"Myrtle Beach, Horry County",Boogie Boarding,F,10,Puncture marks to hand,N
2013.06.15,2013,Unprovoked,USA,Florida,"Atlantic Beach, Duval County",Surfing,F,unknown,Lacerations to left ankle,N
2013.06.16,2013,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Queensberry Bay,Surfing,M,unknown,Lacerations to knee,N
2013.06.17,2013,Unprovoked,USA,Texas,"Surfside Beach, Brazoria County",Swimming,M,15,Left leg & hand bitten,N
2013.06.18,2013,Unprovoked,USA,Hawaii,Kona Coast State Park,Swimming,M,28,Right thigh & calf bitten,N
2013.06.25.a,2013,Unprovoked,USA,South Carolina,"Kiawah Island, Charleston County",Swimming,M,14,"Bitten on lower right leg, reported as a minor injury",N
2013.06.25.b,2013,Unprovoked,USA,Florida,"Jacksonville, Duval County",Swimming,M,unknown,Lacerations to left foot,N
2013.06.25.c,2013,Unprovoked,USA,California,"Pacific State , San Mateo County",Kayaking / Fishing,M,unknown,"No injury, kayak scratched",N
2013.06.27,2013,Invalid,JAMAICA,Kingston Parish,Port Royal,unknown,M,20,Probable drowning with post-mortem bites,Y
2013.06.30,2013,Unprovoked,TAIWAN,Taitung ,unknown,Fishing,M,unknown,Right thigh bitten,N
2013.07.02,2013,Unprovoked,AUSTRALIA,Victoria,"Flinders, Mornington Penisula",Body surfing,M,29,"No injury, holes in wetsuit ",N
2013.07.09,2013,Invalid,SPAIN,Catalonia,"Sant Marti d’Empuries Beach, L’Escala",Swimming,M,48,"Scrape to right forearm. Frennet says inflicted by a blue shark, but authorities question shark involvement",N
2013.07.11,2013,Unprovoked,USA,North Carolina,Holden Beach. Brunswick County,Wading,F,63,Right foot bitten,N
2013.07.14,2013,Unprovoked,DIEGO GARCIA,unknown,unknown,Swimming,M,33,FATAL,Y
